Date,AQI,PM10,CO,NO,NO2,O3,SO2,PM2_5,NH3,City,Latitude,Longitude
2021-10-14,1,6.019583333,260.9108333,0.202083333,10.15375,61.51208333,2.370833333,2.907916667,0.496666667,Amsterdam,52.3727598,4.8936041
2021-09-12,1,8.152083333,316.4020833,0.797916667,16.14083333,43.43833333,2.252083333,3.5075,2.20625,Amsterdam,52.3727598,4.8936041
2021-09-13,1,6.592916667,323.6345833,5.05125,22.82666667,29.90083333,1.170833333,3.164166667,3.621666667,Amsterdam,52.3727598,4.8936041
2021-09-19,1,6.38625,304.3020833,1.359583333,12.6925,40.93,1.394166667,4.977083333,5.39,Amsterdam,52.3727598,4.8936041
2021-09-20,1,4.752083333,301.6595833,0.5975,18.38625,46.94583333,1.117916667,3.532916667,5.765,Amsterdam,52.3727598,4.8936041
2021-09-29,1,3.3525,323.3554167,0.17,10.79958333,49.86083333,1.845833333,1.879583333,1.03625,Amsterdam,52.3727598,4.8936041
2021-09-30,1,3.653333333,319.0445833,0.27,13.0775,55.18041667,2.64,1.71625,2.78875,Amsterdam,52.3727598,4.8936041
2021-10-01,1,4.553333333,323.77375,0.21,19.36583333,44.98708333,2.75375,3.314166667,2.015,Amsterdam,52.3727598,4.8936041
2021-10-02,1,4.15125,298.3220833,1.772916667,16.33333333,36.17375,1.393333333,2.8025,1.164583333,Amsterdam,52.3727598,4.8936041
2021-10-04,1,4.968333333,334.065,1.7675,18.08958333,42.30541667,2.97875,3.0675,2.79875,Amsterdam,52.3727598,4.8936041
2021-10-05,1,2.716666667,299.29625,0.554583333,12.64625,42.22958333,1.532916667,1.568333333,1.410416667,Amsterdam,52.3727598,4.8936041
2021-10-06,1,6.734166667,311.2570833,0.320833333,10.91458333,41.82875,1.822083333,3.64,0.678333333,Amsterdam,52.3727598,4.8936041
2021-10-11,1,5.505833333,294.8445833,0.205416667,9.463333333,55.99833333,1.594583333,1.982083333,0.818333333,Amsterdam,52.3727598,4.8936041
2021-10-12,1,3.753333333,295.95625,0.309583333,10.70708333,52.09458333,1.306666667,1.690416667,1.330833333,Amsterdam,52.3727598,4.8936041
2021-10-20,1,5.94125,248.53125,0.0525,11.21833333,53.07875,1.925416667,4.647083333,0.79625,Amsterdam,52.3727598,4.8936041
2021-10-28,1,7.855416667,275.7916667,1.670416667,18.53625,41.6925,1.689166667,6.13125,2.672083333,Amsterdam,52.3727598,4.8936041
2021-10-29,1,5.42875,272.7320833,0.3225,16.01291667,51.7675,1.832916667,4.513333333,2.373333333,Amsterdam,52.3727598,4.8936041
2021-10-30,1,3.087916667,271.62,0.122916667,14.27,43.03458333,1.40875,2.4,0.902083333,Amsterdam,52.3727598,4.8936041
